username,date,Helpful count,stars,review title,Review text,Badges,Top Contributor
ladyedan,"Reviewed in the United States on October 4, 2018",5 people found this helpful,4.0 out of 5 stars,This is a trilogy and if you start hold on to your seat fast paced and thrilling!,This was a good read it's a trilogy  the first and third books are a lot more fast paced and thrilling the second book dragged a  little in the middle for me. The main ie girl (Salander) is by far the best character you will definitely develop feeling for her in this trilogy. If you read book one then it's worth reading all 3 and it's very sad the author is no longer with us he would be happy to know there are so many people wishing for a 4th book ( I hear there might be a 4th script ready) . They are very enjoyable and full of edge of your seat fear very fast paced and nail biting the will make up want to jump in the book and save her to me that's a great read it I want to be part of it . I did not see the movie or read the Swedish books which I hear are absolutely brilliant. Sex trafficking is a very real problem all across the 🌎 globe .,,
NSM2016,"Reviewed in the United States on September 23, 2017",5 people found this helpful,5.0 out of 5 stars,An excellent trilogy comes to a satisfying end,"I was disappointed when this book came to an end, since I know it was the last book in the series authored by Stieg Larsson. I enjoyed book one, liked book two more than one and loved book three. As in his previous books, Larsson interweaves various storylines to create an intricate plot and he provides closure at the end of the book. One of the aspects I liked most about the book was the character development--specifically of Blomkvist and Salander. I recommend the series to anyone interested in an engaging story with engaging storylines and excellent character development.",,
Teddie S,"Reviewed in the United States on December 6, 2015",2 people found this helpful,4.0 out of 5 stars,Great character development AND plot development,"This is book #2 in the series by Stieg Larsson. In this book we learn more about the history of Lizbeth Salander, the female protagonist in The Girl With the Dragon Tattoo.  We get a much better understanding of Lizbeth's psyche, and how and why her violent childhood affected her in adulthood.  It would be an understatement to say she was not dealt a good hand, nor given a fair shake in life.  However, she is nothing if not a survivor.The main plot in book #2 revolves around human sex trafficking.  Three people are murdered and Lizbeth is the prime suspect.  Two of the murder victims were ""good guys"", and one was most certainly not. If the reader can stomach the graphic violence in parts of the book, it is an interesting and enjoyable read.  I guess what makes these books so satisfying is that the bad guys eventually get what's coming to them.I would venture  a guess that anyone who gets through books #1 & 2 will want to move on to #3.  At least I do.  I give this book 4 stars.",,
Beatlenik,"Reviewed in the United States on September 18, 2014",2 people found this helpful,5.0 out of 5 stars,Random House Large Print; Large Edition Soft Cover Product Review,"Steig Larsson’s Millenium Trilogy is one of the most documented, most reviewed, and most successful sellers on Amazon.  This review is not of the books per se, that would be about as redundant as possible.  This short review (if found like a needle in a haystack by someone looking for this specific topic) is a product review of the Random House Large Print editions in soft cover, which I purchased from Amazon as they came out in 2009-10.Volumes as large as this, purchased as mass-market paperbacks can be as cumbersome to read as eye strain can get.  If you are not a Kindle reader, take great comfort in physically holding a nice big book, and love that new book smell, this is the way to go.  The soft cover binding is both strong and pliable, easy to hold on your lap, in both your hands, or set up on your chest in bed.  The large print is a very comfortable contrast typeface that is perfect whether or not you wear glasses.  The paper quality is superb, and all in all, Random House has spared no expense at producing a high-quality product for boomers who like to read “real books” and want to rest the eyes when devouring a massive epic like this one.  At $20-25 per book, you might be thinking why not just buy the hard-back edition.  Good question!  At the time it was even higher priced than this one and I was under wallet restrictions.  I do have to say, however, these large editions are handsome on the shelf, feel nice and comfortable in handling, and offer the perfect mixture of easy on the eyes and perfect manual dexterity friendliness.  You can’t go wrong with a publisher like Random House, their bindings are solid, paper quality the highest, and their print is superior to many others.",,
Marcus Regulus,"Reviewed in the United States on April 30, 2014",4 people found this helpful,4.0 out of 5 stars,A riveting Noir tale,"I only gave this four stars as I think that  the first 20% of the book can be skipped.SPOILER ALERT.  Basically she travels around the world and has some adventures that have nothing whatsoever  to do with the rest of the story. If he had dropped this part and started when she arrives back in Sweden I would have given this a higher rating. Once back in Sweden the story takes off and has many twists  to keep you turning the pages. The book has very good pacing once back and kept me guessing as to what actually had occured and who had done what to whom. Although this is a still a dark tale of the soul, unlike the first book there is not as much explicit description of sexual deviation as in the first book. The author creates characters that seem real. They may not like each other for some vague reasons or even no reason at all, just like life.  On a lighter note , at least in the early oughts in Sweden, it seemed to me as though they must have consumed huge amounts of coffee. It was as though throughout the book everyone is either drinking coffee or making coffee or offering to make coffee .",,
Patricia N. Fisher,"Reviewed in the United States on January 25, 2020",,5.0 out of 5 stars,Outstanding,"I confess I am late to the dance--Lisbeth Salander's dance.  She has become my favorite female character and the books about her are fabulous.  After some slow going at first, the names confused me, I was hooked.  The plot is intricate but captivating.  Although a stand alone book, it helps to read the Millennium series in order.  If you like great characters, twisting plots, and a fascinating heroine, the Millennium series is as must.",,
Vikram Ramanathan,"Reviewed in the United States on April 26, 2012",3 people found this helpful,5.0 out of 5 stars,High octane ride,"I came to know about this series due to the Hollywood movie version of the first book - Girl with the dragon tattoo. I then stepped into the books. I have not yet seen the Swedish version of the 3 films from the books. Would like to see how that compares to the book. In any case, this book is a page turner. Steig Larson keeps the pressure by running parallel story lines. There are several characters in the book but it does not at any point feel like overkill. There are several stories taking place - there is the Salander thread, Bloomkvist + Millenium thread, a thread on investigative journalism on prostitution, the bad guys thread, Police investigation thread - officer Bublanski & friends plus Salander's Guardian thread and much more. There is some side commentary on mathematics - salander's subject of interest and an initially holiday getaway trip in an island. If SL had been alive he could have created separate franchises on several of these strong characters. I can imagine a Bloomkvist - Millenium only series, a series with Bublanski and friends etc. The book is fast paced. There is no verbose usage of English; it is all plain reading and fast. The book took me a bit of time to get adjusted to all the Swedish names for streets and addresses. A cool ride. I am now reading the third book - girl who kicked the hornet's nest which is an episodic continuation of the story in the 2nd book. I feel bad that this wild story arc is going to end soon and there are going to be no more Salander-Bloomkvist books after this one since the author is no more. Amazing how such a topnotch thrilling story was written as a personal hobby project (probably with the intention of publishing at some point) and then posthumously published. I noticed on the book jacket that Steig Larson did provide all three manuscripts for publishing just before his tragic death.",VINE VOICE,
Susan L. Jones,"Reviewed in the United States on June 29, 2017",2 people found this helpful,5.0 out of 5 stars,Captivating,"This is my second go-around of the whole series and I am as captivated by Salanger today as I was the first time I was introduced to her character. The Swedish series on Netflix is as intense as the books are. Looking forward to re-enter cc'ing myself to the third book in the series and then watching all the movies, again. As I stated, I prefer the Swedish versions, but still enjoy the American version, also.",,
doc peterson,"Reviewed in the United States on August 2, 2010",5 people found this helpful,5.0 out of 5 stars,I liked this much better than his debut,"In lieu of so many reviews, I'll keep the synopsis of _The Girl Who Played With Fire_ short.  Picking up a year (or so) after _The Girl With the Dragon Tattoo_, Blomkvist is dealing with the celebrity from his work with the Wenenrstrom affair, and Millenium financially is doing well, planning an issue (concurrent with the publication of a book) about the seedy world of prostitution, sex trafficing and what amounts to ""white slavery"" - young girls (early teens) brought to Sweden to serve as prostitues.  The writers of the story are murdered, dragging Blomkvist and Salander into the mystery of who did the crime and why._The Girl Who Played With Fire_ moves at a much faster pace than _Dragon Tattoo_, which was a relief.  That readers are given additional background into Salander's past - specifically why she was institutionalized and what ""All the Evil"" was that contributed to Salander being the intorvert she is, especially held my interest.  Apparently some did not care for the way in which Larsson showed events from the perspective of various characters - essentially ""rewinding"" the scene to provide another angle of the story.  I didn't mind the literary device, and in fact thought it provided addtional insight into the characters.I was bothered, however, by the intentional witholding of information regarding signficant plot points.  For example, Salander meets with the murder victims before they are found, leaving readers to suspect (perhaps) Salander is guilty of the crime, as the story does not provide any details of what she was doing there.  I understand that this was done to ""build suspense"" (and perhaps to put readers in the shoes of Blomkvist and others investigating the crime), but I found it trite.  This reservation aside, I really enjoyed the story and ""getting to know"" Salander better.As with so many book in a series, if you enjoyed _Dragon Tattoo_, you will absolutely love _Played With Fire_.  If you struggled with the pacing of the first, I would recommend this installment of the trilogy, as the ""first act"" (so to speak) is much more brief (the assumption being, I suppose, that we already are familiar with the protagonists).  If, on the other hand, you were among those who were bewildered at the buzz around Larsson's books, don't bother - there is nothing new here that would dissuade you otherwise.",,
K. Aszman,"Reviewed in the United States on July 19, 2012",,5.0 out of 5 stars,The story is outstanding but pages were missing!,"I purchased this book and was thrilled with it. I believe it is actually better than the first book in the trilogy, The Girl with the Dragon Tattoo. I literally devoured the book and was about 90%  through it when, as I moved on to another page the next page didn't make sense. I stopped short. Checked the page numbers and was shocked to find that 49 pages were missing. The last page I read was page 596. It then jumped to page 645. Talk about freaked out! This book really is a page turner and I was so into it that I immediately ran out of the house and down to my neighborhood bookstore. Thankfully, they had the book in stock. I think I would have driven an hour to find another copy. When I told the clerk my story she said that this sort of thing had happened to them too. It's a simple printing error. I never bothered trying to return the book. I'm sure I could get my money back but I'm not going to bother. However, if you purchase this book from this particular seller you might want to check to make sure those pages are there. The clerk said they sometime come in batches. Now as far as the actual story...if you liked The Girl with the Dragon Tattoo you are really going to love The Girl Who Played with Fire. I couldn't put it down. Oh, and make sure you have the third book at your side because I can promise you, you are going to want to just pick that one up and keep reading. It picks up immediately where this book ends. It is such a shame that Stieg Larsson is no longer with us. He has created one of the most unusual heroines I have ever met. The writing itself is exceptional. The plot line is complex enough to keep you intrigued. But the best part is his character development. I love the characters. Blomkvist, Berger, and all the others are very real; very believable. The bad guys are really nasty; you will love to hate them. But the shining star of the story is Lisbeth. There will never be another heroine like Lisbeth Salander. He broke the mold with this one. Grab this book and you won't put it down. It will keep you on the edge of your seat. And remember to have The Girl Who Kicked the Hornet's Nest ready and waiting!",,
