username,date,Helpful count,stars,review title,Review text,Badges,Top Contributor
Rosy,"Reviewed in the United States on September 3, 2015",45 people found this helpful,1.0 out of 5 stars,"dull, stuffed with a deadly showing-off-my-research thread about a ...","Pompous, dull, stuffed with a deadly showing-off-my-research thread about a financial journalist's career and enthralling details of Swedish commerce.  You can tear off the first inch of the book and never miss it.  Every main character is a gorgeous sexual bombshell and an offhand genius--oh, and wealthy--and none of them mind sharing. Everyone loves them and you know they'll come out on top. The relationships are a combination of some lonely virgin guy's uninformed fantasies and alienated family members out of Henrik Ibsen or maybe Beckett, blazing with fifty-year-old hate.  The freakier characters are so out of date it's embarrassing--mad Nazi torturers in 2000? with underground abbatoirs (didn't the tax assessor notice?), perverted social workers abusing their power, aphasic sociopath/genius computer hacks who can't cry and live unwashed in rat warrens, yet can walk into Swiss banks and discuss investments or impersonate a gilded heiress without a bit of coaching.  Did I mention that, after building the tiny character of a friendly cat, the author kills and mutilates it as an important plot twist (so you can't avoid it)?  This is a few hours you'll never get back.",,
"Nick Nicholas, MSW","Reviewed in the United States on June 20, 2016",28 people found this helpful,4.0 out of 5 stars,Indelible Ink,"Although this book is the first of a trilogy (now a tetralogy thanks to an author working from the manuscripts Larsson left behind prior to his untimely death), it stands well on its own right. It is a dark and moody book, much like Sweden in which the book is set, and much like the character for whom the book is named. The text does not grab the reader immediately with graphic descriptions of horrific events. It begins almost pianimissimo and in a molto adagio style (with a few moments of high tension scattered through the book) rises towards a crescendo towards the end as the protagonist is captured by the villain and escape seemed impossible. These musical metaphors are quite apt because the book moves like a Mozartian symphony.The two central characters are well fleshed out. Even the bizarre appearance and behavior of Lisbeth Salander becomes nor only acceptable but also understandable. Mikael Blomkvist, the ostensible protagonist (or is the titular ""girl with the dragon tattoo"" the true protagonist of this novel?), receives a great deal of attention from the author, but his role is more expository rather than a study in character. Lisbeth Salander is very much a study in character, and even though she is missing from key scenes, even large swaths of the book, yet her brooding presence never disappears entirely.This truly was one of those rare books you never wanted to end, and even through The Girl with the Dragon Tattoo stands well on its own as a novel, I look forward to reading other books in the series.",,
AP,"Reviewed in the United States on July 16, 2019",5 people found this helpful,3.0 out of 5 stars,Mediocre,"The problem with the books is that they are more about Blomkvist than lisbeth salander. She always comes late in the novels. supposedly she is the main character and therefore she should be an active from the very beginning, which makes the book more about investigation that than action, which wouldn’t be bad if she was more involved.I also find that there is too many characters, in my opinion a lot of unnecessary characters, and their names are so complicated and very much alike That is difficult to follow up, I understand it is a Swedish book but Simplicity is very valuable. I wish both Lisbeth and Blomkvist worked more closely together as it is they barely communicate and is mostly from a few computer frases.As they are the books are very complicated, a little boring and so much is unnecessary.",,
Bill Dolworth,"Reviewed in the United States on August 9, 2019",3 people found this helpful,3.0 out of 5 stars,It's Okay But Overall Not Very Compelling,"The Girl with the Dragon Tattoo is mostly boring. The dialog is sometimes stilted.  It consists of too many speeches whose primary purpose is to advance the exposition. The lead characters, in the face of an imminent danger, do dumb things. Incredulously, the male lead gets more action than James Bond. Young, middle-aged, and married woman throw themselves at him. Even another male has the hots for him.The young female lead is a loner, who is mad at the world and has a general distrust of men. She is a psychologically damaged person and although it’s never delved into, she may have some form of autism. Her talents as a computer hacker and private investigator so immense that she does not seem like a person operating in real life. Her character would be more appropriate in a story set in a superhero universe.A large portion of the Larrson’s book is about the crooked dealings a Swedish financier. These passages come off as flat because he is never a fully developed as a character. He is more of a bogey man.The main story is about the investigation of the whereabouts of a girl from a wealthy family, who mysteriously disappeared in the 1960s. The plot meanders because it’s bogged down with way too many potential suspects who are mostly from her old-money family. The resolution of this story feels like it should be the ending of the book. However, there are multiple chapters that follow that seem more like an epilogue and are a chore to get through.",,
Teddie S,"Reviewed in the United States on September 21, 2015",13 people found this helpful,5.0 out of 5 stars,What a great read!,"The Girl With the Dragon Tattoo is an intriguing book title.  It's also an intriguing description of the female protagonist in this story. She is a 24 year old computer hacker with a photographic memory, a screwed up personal life, and a big chip on her shoulder. The male protagonist is a disgraced financial journalist who has been found guilty of libel, and whose business magazine he is part owner of is on the verge of shutting down. The two are hired by the elderly head of a wealthy family to find out what happened to his beloved niece who disappeared 40 years prior.I loved this book in spite of the graphic sadistic violence and the unfamiliar Swedish names and words sprinkled through the book.  The plot was suspenseful and kept me interested right to the end. I am definitely looking forward to reading the other two books in the series.",,
Rick Howard,"Reviewed in the United States on March 24, 2014",12 people found this helpful,4.0 out of 5 stars,Worthy for Consideration for the Cyber Security Canon,"See the full review at my blog site: Terebrate.You have heard of this book from watching one or both of the movies that have sprung from it, but do yourself a favor: take the time to read through this one. It is a fantastic story involving a complex mystery and engaging real-world characters. The overarching theme though is the spotlight that the author, Stieg Larsson, places on Swedish culture's egregious acceptance of violence against women. Lisbeth Salander is the tattooed girl referred to in the book's title. She is an orphan, a ward of the state, a hacker with a photographic memory who works for a private investigation firm, and a young woman who refuses to be a victim. She is an amazing character, a real woman with strengths and flaws but who can be held up to us all as an example to admire and to aspire to in regard to her drive, intelligence, and agency. It is written well, despite being translated into English from Swedish, and because the hacking described within is not exaggerated and could actually work, it is worthy of consideration for the cyber security canon. You should have read this by now.",,
KD,"Reviewed in the United States on October 21, 2017",2 people found this helpful,5.0 out of 5 stars,Really enjoyed this book!,"I have seen the movie a couple times, and since I enjoyed it I had decided to read the book to see how much more to the story there was. I always anticipate that a movie based on a book will be vastly different than the book, because that's usually the case. It wasn't, however (not this time).The movie follows the book pretty closely, if I recall the movie correctly. There's much more detail in the book though, which helps to understand the story and the context better.Even with the serious subject matter & starting the book already knowing the basic story from the movie, it was a very intriguing read. I think I'll move on to the next book now!",,
Sam Hill,"Reviewed in the United States on August 10, 2013",14 people found this helpful,4.0 out of 5 stars,"Wonderfully riveting, with only a few hiccups","As others have mentioned this book is slow off the mark; but eventually, maybe 30% of the way in (I'm reading the kindle edition so there are no page numbers),  we reach cruising speed at last.  Then it comes into its own as a really first-class thriller and the kind of book one doesn't want to put down.  My advice: it pays to persevere!At times, the language of the English translation is a bit too goose-steppingly wooden,  but one gets over that in short order.Some readers objected to the author's including a few menus for snacks enjoyed by the protagonists.  For my part, I found that of interest, and have adopted one of them for my own repertoire: marinated herring, sour cream or tadziki and chives, bread, beer.  Quick and nutritious. Thanks, Stieg!For truly boring, endless and perfectly irrelevant menu descriptions, one cannot beat the ones saddled  upon the reader in the appalling books #4 & 5 of the medieval saga _Game_of_Thrones_ by George R. R. Martin.  In comparison, Mr. Larsson is countless light years above that.Happy reading!",,
Darlene Bowe,"Reviewed in the United States on August 14, 2017",3 people found this helpful,5.0 out of 5 stars,Don't miss this!  Its so good its a major motion picture!,"I have to have the Audio books because of my eyes.  80% of them are either cops and robbers or romance novels that lean towards porn.  I am thrilled when I find a book that is different!  Tremendous story, great characters, and not like anything you have ever read!  Better yet, there are 3 of them!!  it took me a long time to find this in an Audio Book, but when I did, I bought two!  I took one of them down to my public library for their collection. I haven't seen it on the shelf since I took it there, its that popular!  The whole series is!  Its a must read!",,
M. Carpenter,"Reviewed in the United States on January 2, 2013",9 people found this helpful,3.0 out of 5 stars,Public demand is the disappointment,"SPOILERS: This was a disappointing read. I have not chewed on it enough to identify completely why though. As I read it I thought it was probably the public demand for such writing that may be the cause of my disgruntled response. What is the public obsession with heavily saturated unrealistic and sometimes disgusting sexual context? The main character (at least on the cover) is a mid twenties young woman that looks fifteen. There are multiple, many unhealthy, sexual encounters involving her in this story. The author cleverly uses this character to draw interest in the book and to prey on what I assume is the mentality of middle aged men who are drawn to these types of women and exploits. This is not even the only issue with women in the story. There are several story lines that involve unhealthy sexual relationships and sexual crimes that are abhorrent. I am not religious or a social Puritan in any sense and have no issue with sex in these story lines at all. I do feel however, that this story uses that as bait to carry the story and it is unnecessary.This is not my only issue with this book. Too many concepts are borrowed in my mind to make this satisfactory. I loved the mystery and intrigue in searching for answers to the Vanger story, but the deeper it ran the more concepts seemed to sound familiar. The religious undertones and grotesque crimes were very reminiscent of Dan Brown's books both in Angels and Demons and the Da Vinci Code. That was fairly annoying. The rushed corporate ""wrap up"" at the end was almost laughable when Lisbeth masqueraded around to steal money at different banks a la Shawshank Redemption, which led to the almost invisible paper doll antagonist's death, also as in Shawshank.My issues with this book had nothing to do with the style or writing itself. It was an enjoyable read in flow and in maintaining your interest. My main issues revolved around the thirst we all seem to have for quite vile concepts. In reality a middle aged man with multiple sex partners, including one that apparently looks underage would be frowned upon. Here we are led to not only accept but approve of such an arrangement. We are almost endearing of their cute relationship in the end. This same character is violated by another older man in horrific ways, several others face similar fates from family members, and we all cheer on such imagery. I think this book would have been just as enjoyable if those premises had been changed a bit. I am sure I am in the minority, but in my case, it will not lead me to read the remaining books in this series.",,
